"活动类别","持续时间","开始时间","结束时间","备注","标签"
"S1:闲刷","01:19","2023-08-15 22:30","2023-08-15 23:49","闲聊了会，看了B站视频，demo游戏，类似空洞骑士的，些许无聊","B站"
"S2:工具","01:18","2023-08-15 21:11","2023-08-15 22:30","","Python"
"S4:洗护","00:08","2023-08-15 21:03","2023-08-15 21:11",,
"S2:工具","00:42","2023-08-15 20:20","2023-08-15 21:03","ATM时间分析","Python"
"S6:技术论坛","01:20","2023-08-15 19:00","2023-08-15 20:20","OceanBase大赛宣讲 感觉今年可以参加一下",
"S1:音影","01:23","2023-08-15 17:36","2023-08-15 19:00","基督山伯爵讲解视频",
"S4:用餐","00:14","2023-08-15 17:22","2023-08-15 17:36",,
"S2:工具","01:10","2023-08-15 16:11","2023-08-15 17:22","Python时间分析","Python"
"S4:漫游","01:38","2023-08-15 14:33","2023-08-15 16:11","躺着，思考人生，感觉有点虚度光阴了，想做的事情太多，行动却很少",
"S2:OS","01:56","2023-08-15 12:36","2023-08-15 14:33","操作系统真想还原 环境搭建","操作系统真想还原"
"S1:闲刷","01:54","2023-08-15 10:42","2023-08-15 12:36","","B站"
"S4:用餐","00:21","2023-08-15 10:21","2023-08-15 10:42",,
"S2:OS","00:54","2023-08-15 09:27","2023-08-15 10:21","jyy os 第9节","jyyos"
"S4:漫游","01:47","2023-08-15 07:40","2023-08-15 09:27","回笼觉",
"S1:闲刷","00:45","2023-08-15 06:55","2023-08-15 07:40","","知乎"
"S4:洗护","00:20","2023-08-15 06:34","2023-08-15 06:55","",
"S7:睡眠","06:49","2023-08-14 23:44","2023-08-15 06:34",,

"活动类别","持续时间","%"
"S7:睡眠","06:34","27.61"
"S1:闲刷","03:58","16.68"
"S4:漫游","03:26","14.43"
"S2:工具","03:11","13.39"
"S2:OS","02:50","11.92"
"S1:音影","01:23","5.87"
"S6:技术论坛","01:20","5.61"
"S4:用餐","00:35","2.47"
"S4:洗护","00:29","2.03"
